data,model,seq_len,pred_len,lr,mse,mae,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout
Africa_g_cases_2020_2022,tsmixer,1,1,0.0001,0.056604013,0.237881005,0.053919476,0.232089847,3.621189117,0.555434823,20.81420779,B,relu,2,0.05
Europe_g_cases_2020_2022,tsmixer,1,1,0.0001,0.001459002,0.029205566,0.007262737,0.052216507,2.327871799,0.340937376,11.55571485,B,relu,2,0.05
germany_g_cases_2020_2022,tsmixer,1,1,0.0001,0.005483225,0.072902292,0.006687304,0.078597583,1.1284132,0.211599573,15.09644008,B,relu,2,0.05
North_America_g_cases_2020_2022,tsmixer,1,1,0.0001,0.002006171,0.042982746,0.001874575,0.042939845,0.086689144,0.089412011,8.563988209,B,relu,2,0.05
gdata_3month,tsmixer,1,1,0.0001,0.225745574,0.223672897,1.73958087,0.702339232,1.105907083,0.578882456,21.84265971,B,relu,2,0.05
KBest_agg_avg,tsmixer,1,1,0.0001,0.011927741,0.101618528,1.8635571,0.611833036,1.002706647,0.492944688,7.578140974,B,relu,2,0.05
KBest_agg_max,tsmixer,1,1,0.0001,0.030336618,0.142705977,2.109843493,0.9137128,1.382623196,0.824394226,29.48905087,B,relu,2,0.05
KBest_agg_min,tsmixer,1,1,0.0001,0.002092684,0.038130436,1.782257676,0.675581038,0.952512622,0.425486743,29.29792166,B,relu,2,0.05
KBest_agg_sum,tsmixer,1,1,0.0001,0.014570241,0.117541298,1.949204087,0.895755947,1.013346434,0.530405164,30.27856588,B,relu,2,0.05
RFE_agg_avg,tsmixer,1,1,0.0001,0.008202937,0.040681873,1.774077773,0.733715236,0.938330531,0.432118714,25.62924147,B,relu,2,0.05
RFE_agg_max,tsmixer,1,1,0.0001,0.07926026,0.166799545,1.711269379,0.71820128,0.971329749,0.54316318,27.72296262,B,relu,2,0.05
RFE_agg_min,tsmixer,1,1,0.0001,0.012373668,0.084095448,1.790783286,0.661134124,0.946658552,0.401213408,27.96268988,B,relu,2,0.05
RFE_agg_sum,tsmixer,1,1,0.0001,0.015839383,0.117385656,1.96030581,0.90538466,1.017318487,0.5327335,27.87671256,B,relu,2,0.05
