date,total_cases,g_values
2020-02-29,3,
2020-03-01,3,0.0
2020-03-02,4,33.33333333333333
2020-03-03,9,125.0
2020-03-04,14,55.55555555555556
2020-03-05,26,85.71428571428571
2020-03-06,30,15.384615384615385
2020-03-07,44,46.666666666666664
2020-03-08,80,81.81818181818183
2020-03-09,84,5.0
2020-03-10,98,16.666666666666664
2020-03-11,110,12.244897959183673
2020-03-12,136,23.636363636363637
2020-03-13,185,36.029411764705884
2020-03-14,239,29.18918918918919
2020-03-15,314,31.380753138075313
2020-03-16,391,24.522292993630572
2020-03-17,486,24.296675191815854
2020-03-18,596,22.633744855967077
2020-03-19,713,19.630872483221477
2020-03-20,906,27.068723702664798
2020-03-21,1124,24.061810154525386
2020-03-22,1337,18.95017793594306
2020-03-23,1657,23.93418100224383
2020-03-24,2046,23.47616173808087
2020-03-25,2446,19.550342130987293
2020-03-26,2935,19.99182338511856
2020-03-27,3601,22.691652470187393
2020-03-28,4255,18.161621771730076
2020-03-29,4566,7.309048178613396
2020-03-30,5107,11.848445028471309
2020-03-31,5661,10.847855884080673
2020-04-01,6215,9.786256845080374
2020-04-02,6798,9.380530973451327
2020-04-03,7652,12.562518387761108
2020-04-04,8513,11.25196027182436
2020-04-05,9249,8.6456008457653
2020-04-06,9960,7.68731754784301
2020-04-07,10702,7.449799196787149
2020-04-08,11520,7.643431134367408
2020-04-09,12201,5.911458333333333
2020-04-10,12991,6.474879108269814
2020-04-11,13772,6.011854360711261
2020-04-12,14590,5.93958756898054
2020-04-13,15313,4.955448937628513
2020-04-14,16147,5.446352772154379
2020-04-15,17044,5.555211494395244
2020-04-16,17999,5.603144801689744
2020-04-17,19280,7.117062059003278
2020-04-18,20692,7.323651452282158
2020-04-19,21829,5.494877247245313
2020-04-20,23070,5.685097805671354
2020-04-21,24424,5.869094061551799
2020-04-22,25617,4.884539796921061
2020-04-23,27118,5.859390248662997
2020-04-24,28429,4.834427317648794
2020-04-25,29877,5.093390551901228
2020-04-26,31322,4.836496301502828
2020-04-27,32777,4.645297235170168
2020-04-28,33998,3.72517313970162
2020-04-29,35668,4.912053650214719
2020-04-30,37639,5.525961646293596
2020-05-01,40130,6.6181354446186145
2020-05-02,41931,4.487914278594567
2020-05-03,44003,4.941451432114665
2020-05-04,45851,4.199713655887098
2020-05-05,48578,5.947525681010228
2020-05-06,50568,4.096504590555396
2020-05-07,52591,4.000553709856035
2020-05-08,55546,5.618832119564185
2020-05-09,59291,6.742159651460051
2020-05-10,62086,4.714037543640687
2020-05-11,65429,5.384466707470283
2020-05-12,68197,4.230539974628987
2020-05-13,71384,4.6732260949895155
2020-05-14,74328,4.124173484254174
2020-05-15,77579,4.373856420191583
2020-05-16,80158,3.324353239923175
2020-05-17,83378,4.017066294069213
2020-05-18,87423,4.851399649787714
2020-05-19,90327,3.321780309529529
2020-05-20,93762,3.802849646285164
2020-05-21,97803,4.3098483394125555
2020-05-22,102243,4.53973804484525
2020-05-23,106360,4.026681533210097
2020-05-24,110317,3.7203836028582176
2020-05-25,114720,3.9912252871270972
2020-05-26,118630,3.408298465829847
2020-05-27,122405,3.18216302790188
2020-05-28,127656,4.289857440464033
2020-05-29,132515,3.806323243717491
2020-05-30,138431,4.464400256574727
2020-05-31,144578,4.440479372394911
2020-06-01,150200,3.8885584252099212
2020-06-02,156291,4.05525965379494
2020-06-03,161326,3.2215546640561517
2020-06-04,166638,3.2927116521825375
2020-06-05,174481,4.706609536840337
2020-06-06,180961,3.7138714243957796
2020-06-07,187924,3.8477904078779406
2020-06-08,193567,3.0028096464528216
2020-06-09,200477,3.5698233686527145
2020-06-10,207425,3.4657342238760553
2020-06-11,213918,3.130288055923828
2020-06-12,221584,3.58361615198347
