date,total_cases,g_values
2020-02-29,86,
2020-03-01,94,9.30232558139535
2020-03-02,105,11.702127659574469
2020-03-03,135,28.57142857142857
2020-03-04,186,37.77777777777778
2020-03-05,246,32.25806451612903
2020-03-06,338,37.39837398373984
2020-03-07,428,26.627218934911244
2020-03-08,574,34.112149532710276
2020-03-09,738,28.57142857142857
2020-03-10,966,30.89430894308943
2020-03-11,1382,43.064182194616976
2020-03-12,1934,39.94211287988423
2020-03-13,2516,30.093071354705277
2020-03-14,3346,32.98887122416534
2020-03-15,4431,32.42677824267782
2020-03-16,5745,29.654705484089373
2020-03-17,7995,39.1644908616188
2020-03-18,10598,32.557848655409636
2020-03-19,14093,32.97792036233251
2020-03-20,19305,36.98289931171503
2020-03-21,25948,34.41077441077441
2020-03-22,33857,30.480191151533838
2020-03-23,43571,28.691260300676376
2020-03-24,54897,25.99435404282665
2020-03-25,66252,20.684190392917646
2020-03-26,78411,18.352653504799854
2020-03-27,94515,20.53793472854574
2020-03-28,114248,20.878167486642333
2020-03-29,135809,18.872102793921993
2020-03-30,157656,16.08656274620975
2020-03-31,185464,17.638402598061603
2020-04-01,202938,9.421774576198077
2020-04-02,228096,12.396889690447328
2020-04-03,258665,13.401813271604937
2020-04-04,290897,12.460905031604586
2020-04-05,324935,11.701048824841783
2020-04-06,358917,10.458091618323664
2020-04-07,388505,8.243688652251077
2020-04-08,419310,7.929112881430098
2020-04-09,450729,7.493024254131788
2020-04-10,487710,8.204708372436652
2020-04-11,524846,7.614360993213181
2020-04-12,560604,6.813046112573974
2020-04-13,594499,6.04615735884867
2020-04-14,623658,4.904802194789227
2020-04-15,651469,4.459335084292994
2020-04-16,679633,4.323152751704225
2020-04-17,707639,4.120753406617983
2020-04-18,742653,4.948003148498033
2020-04-19,776467,4.5531358521409055
2020-04-20,807573,4.006094270587159
2020-04-21,836511,3.583329308929348
2020-04-22,866928,3.636174539246943
2020-04-23,896511,3.4123941088533303
2020-04-24,930740,3.81802342637179
2020-04-25,967954,3.9983239143047467
2020-04-26,1006775,4.010624471824074
2020-04-27,1043604,3.6581162623227628
2020-04-28,1072860,2.8033621948555196
2020-04-29,1100758,2.6003392800551794
2020-04-30,1128775,2.5452460940551878
2020-05-01,1159733,2.7426192110916703
2020-05-02,1195115,3.0508746409733964
2020-05-03,1232321,3.1131732092727478
2020-05-04,1264789,2.634703133355676
2020-05-05,1295415,2.4214315589398705
2020-05-06,1322357,2.0797968218678955
2020-05-07,1349446,2.0485390858898165
2020-05-08,1379574,2.232619904760917
2020-05-09,1412885,2.4145859518952952
2020-05-10,1446714,2.394320839983438
2020-05-11,1476501,2.058941850289691
2020-05-12,1500684,1.637858694304982
2020-05-13,1525636,1.6627084716036153
2020-05-14,1554229,1.8741691989439158
2020-05-15,1576824,1.4537754732410733
2020-05-16,1616911,2.5422621674961823
2020-05-17,1649285,2.0022128614376427
2020-05-18,1679646,1.8408583113288486
2020-05-19,1703447,1.4170247778400926
2020-05-20,1732486,1.7047199002962816
2020-05-21,1760296,1.6052077765707777
2020-05-22,1789607,1.665117684753019
2020-05-23,1822125,1.8170469829409472
2020-05-24,1854684,1.786869726281128
2020-05-25,1881159,1.4274668892382745
2020-05-26,1906280,1.3354001442727594
2020-05-27,1932700,1.3859454015149926
2020-05-28,1957403,1.2781600869250271
2020-05-29,1983836,1.3504117445411088
2020-05-30,2014776,1.559604725390607
2020-05-31,2045377,1.5188288921448339
2020-06-01,2074759,1.4365077929398835
2020-06-02,2100767,1.253543182605787
2020-06-03,2125408,1.1729525454274559
2020-06-04,2153629,1.3277921227359641
2020-06-05,2181458,1.2921909948278
2020-06-06,2209560,1.2882209971496128
2020-06-07,2241611,1.4505602925469323
2020-06-08,2270490,1.2883145202267476
2020-06-09,2293867,1.0296015397557357
2020-06-10,2320483,1.1603113868415214
2020-06-11,2347590,1.1681619731754123
2020-06-12,2378477,1.3156897073168654
2020-06-13,2409545,1.3062140184664388
2020-06-14,2446327,1.5265122668387598
2020-06-15,2478942,1.3332232363048766
2020-06-16,2504838,1.0446392049511444
2020-06-17,2534690,1.191773679575286
2020-06-18,2568807,1.3460028642555895
2020-06-19,2603962,1.3685341094134358
2020-06-20,2641697,1.4491378906451016
2020-06-21,2684537,1.6216848487922726
2020-06-22,2725604,1.5297609978927464
2020-06-23,2758724,1.2151435058064195
2020-06-24,2797461,1.4041636640707806
2020-06-25,2845319,1.7107655835059004
2020-06-26,2891927,1.6380588608869515
2020-06-27,2949428,1.988328197772627
2020-06-28,3005928,1.9156256738594737
2020-06-29,3057058,1.7009722122419433
2020-06-30,3101625,1.4578395306860388
2020-07-01,3152036,1.6253093136662233
2020-07-02,3210609,1.858259233079825
2020-07-03,3281741,2.215529826272835
2020-07-04,3349252,2.0571702641981804
2020-07-05,3421777,2.165408873384266
2020-07-06,3479656,1.6914895389150142
2020-07-07,3527905,1.3866025837036766
2020-07-08,3590714,1.7803483937350921
2020-07-09,3660346,1.9392243436820642
2020-07-10,3737132,2.097779827371511
2020-07-11,3811652,1.9940424903375102
2020-07-12,3892463,2.120104353702804
2020-07-13,3969727,1.9849642758325514
2020-07-14,4036645,1.6857078585000935
2020-07-15,4107081,1.7449144029261923
2020-07-16,4185712,1.9145227474208568
2020-07-17,4272891,2.082775881379321
2020-07-18,4356155,1.9486572440064582
2020-07-19,4446629,2.0769233418002804
2020-07-20,4527292,1.8140258609387019
2020-07-21,4596820,1.5357524984030189
2020-07-22,4670500,1.6028471856631323
2020-07-23,4747761,1.6542340220533132
2020-07-24,4834526,1.827493001437941
2020-07-25,4922061,1.8106221788857895
2020-07-26,5009831,1.7831961042335722
2020-07-27,5081798,1.4365155231783266
2020-07-28,5147959,1.3019210917080923
2020-07-29,5216260,1.326758818397738
2020-07-30,5289070,1.3958276619647028
2020-07-31,5367531,1.4834555035195223
2020-08-01,5447105,1.482506575183264
2020-08-02,5528321,1.490993839847038
2020-08-03,5592827,1.166828047792449
2020-08-04,5651020,1.040493474945676
2020-08-05,5709368,1.032521562478986
2020-08-06,5775130,1.1518262616808024
2020-08-07,5843344,1.1811682161267367
2020-08-08,5909477,1.1317663310597494
2020-08-09,5984605,1.2713138573853489
2020-08-10,6044468,1.0002832267125399
2020-08-11,6097960,0.8849744923788165
2020-08-12,6154050,0.9198158072535734
2020-08-13,6226028,1.1696037568755535
2020-08-14,6292557,1.068562492812432
2020-08-15,6356946,1.0232565235404305
2020-08-16,6424748,1.0665813426761845
2020-08-17,6483672,0.9171410302785417
2020-08-18,6532288,0.7498220144387316
2020-08-19,6585548,0.8153345351582784
2020-08-20,6638887,0.8099401902468861
2020-08-21,6696678,0.8704922978806537
2020-08-22,6754351,0.8612180546832324
2020-08-23,6813162,0.8707128190406451
2020-08-24,6863331,0.7363541333671503
2020-08-25,6906730,0.6323314437260857
2020-08-26,6955280,0.7029375695879236
2020-08-27,7007677,0.7533413464303378
2020-08-28,7066558,0.8402356444225384
2020-08-29,7125785,0.8381308127662718
2020-08-30,7183903,0.8156013688316446
2020-08-31,7232682,0.6790041569325198
2020-09-01,7275685,0.5945650589919479
2020-09-02,7326955,0.7046759171129591
2020-09-03,7378566,0.704399030702386
2020-09-04,7434893,0.7633868152700674
2020-09-05,7491176,0.7570115669452135
2020-09-06,7554476,0.8449941638001831
2020-09-07,7602549,0.636351217476897
2020-09-08,7642857,0.5301905979165672
2020-09-09,7678793,0.47019066299421797
2020-09-10,7720524,0.5434578064547384
2020-09-11,7766986,0.6017985307732999
2020-09-12,7816472,0.6371326020157626
2020-09-13,7871959,0.709872689366763
2020-09-14,7920300,0.6140911048952363
2020-09-15,7959837,0.4991856369076929
2020-09-16,8006287,0.583554663242476
2020-09-17,8052431,0.5763470632516671
2020-09-18,8105193,0.6552306998967145
2020-09-19,8162117,0.7023151700397511
2020-09-20,8222214,0.7362918223299175
2020-09-21,8272296,0.6091060145114199
2020-09-22,8313745,0.5010579892208886
2020-09-23,8368330,0.656563317734667
2020-09-24,8429516,0.7311614145235669
2020-09-25,8482707,0.6310089452348154
2020-09-26,8540473,0.6809854448585811
2020-09-27,8601613,0.7158854082203644
2020-09-28,8651605,0.5811933180439529
2020-09-29,8693857,0.4883718107796184
2020-09-30,8744669,0.584458658567768
2020-10-01,8796014,0.5871577300410112
2020-10-02,8854009,0.6593327386700385
2020-10-03,8912751,0.6634508729322502
2020-10-04,8975092,0.6994585622329178
2020-10-05,9030880,0.6215869430642048
