date,g_values
2020-12-25,0.749193777
2020-12-26,0.689826912
2020-12-27,1.096812714
2020-12-28,0.506668615
2020-12-29,0.552036365
2020-12-30,0.632679674
2020-12-31,0.799062463
2021-01-01,0.802732347
2021-01-02,0.711653573
2021-01-03,1.168043432
2021-01-04,0.612369385
2021-01-05,0.614070045
2021-01-06,0.666347161
2021-01-07,0.795029658
2021-01-08,0.799715694
2021-01-09,0.820877713
2021-01-10,1.47102782
2021-01-11,0.679844611
2021-01-12,0.600386386
2021-01-13,0.622511841
2021-01-14,0.688202918
2021-01-15,0.677744744
2021-01-16,0.666199104
2021-01-17,1.363936681
2021-01-18,0.56299892
2021-01-19,0.494180252
2021-01-20,0.495130804
2021-01-21,0.538934723
2021-01-22,0.574627409
2021-01-23,0.544305435
2021-01-24,1.18487501
2021-01-25,0.459210666
2021-01-26,0.383854038
2021-01-27,0.424308456
2021-01-28,0.476791515
2021-01-29,0.492073858
2021-01-30,0.470557845
2021-01-31,1.021596805
2021-02-01,0.388313967
2021-02-02,0.322073448
2021-02-03,0.362696692
2021-02-04,0.400788077
2021-02-05,0.386820046
2021-02-06,0.394565796
2021-02-07,0.797020696
2021-02-08,0.322540799
2021-02-09,0.277752918
2021-02-10,0.291024881
2021-02-11,0.332692848
2021-02-12,0.349206872
2021-02-13,0.342162702
2021-02-14,0.634732903
2021-02-15,0.269058651
2021-02-16,0.23720859
2021-02-17,0.265771898
2021-02-18,0.292650317
2021-02-19,0.304108306
2021-02-20,0.302391854
2021-02-21,0.592371381
2021-02-22,0.272420198
2021-02-23,0.239958052
2021-02-24,0.267299789
2021-02-25,0.324553562
2021-02-26,0.330727537
2021-02-27,0.326983026
2021-02-28,0.617347939
2021-03-01,0.276667318
2021-03-02,0.237302134
2021-03-03,0.273455072
2021-03-04,0.313190816
2021-03-05,0.329666885
2021-03-06,0.326450485
2021-03-07,0.633068338
2021-03-08,0.275663491
2021-03-09,0.276753418
2021-03-10,0.267201951
2021-03-11,0.329608966
2021-03-12,0.345011363
2021-03-13,0.343663963
2021-03-14,0.686552144
2021-03-15,0.293818654
2021-03-16,0.260953734
2021-03-17,0.292475094
2021-03-18,0.36847684
2021-03-19,0.381580278
2021-03-20,0.381148583
2021-03-21,0.783929101
2021-03-22,0.334246352
2021-03-23,0.294273173
2021-03-24,0.335036716
2021-03-25,0.400687972
2021-03-26,0.420825669
2021-03-27,0.416501954
2021-03-28,0.888623678
2021-03-29,0.369131025
2021-03-30,0.319869321
2021-03-31,0.34831887
2021-04-01,0.422122739
2021-04-02,0.436637355
2021-04-03,0.440867374
2021-04-04,0.877528745
2021-04-05,0.3592398
2021-04-06,0.32611119
2021-04-07,0.369870859
2021-04-08,0.472630427
2021-04-09,0.497076544
2021-04-10,0.489412185
2021-04-11,0.932275385
2021-04-12,0.4504381
2021-04-13,0.404362552
2021-04-14,0.447458026
2021-04-15,0.517848841
2021-04-16,0.515692567
2021-04-17,0.519441039
2021-04-18,0.960678431
2021-04-19,0.504807078
2021-04-20,0.453699612
2021-04-21,0.479848732
2021-04-22,0.551312105
2021-04-23,0.559937313
2021-04-24,0.530523566
2021-04-25,0.915018292
2021-04-26,0.503646639
2021-04-27,0.442401735
2021-04-28,0.470977683
2021-04-29,0.537381397
2021-04-30,0.541279067
2021-05-01,0.527769158
2021-05-02,0.816680404
2021-05-03,0.468718765
2021-05-04,0.419172163
2021-05-05,0.444793228
2021-05-06,0.505882261
2021-05-07,0.508454128
2021-05-08,0.488483439
2021-05-09,0.715686731
2021-05-10,0.428828811
2021-05-11,0.384736302
2021-05-12,0.385227508
2021-05-13,0.438301558
2021-05-14,0.423234894
2021-05-15,0.400544429
2021-05-16,0.564136273
2021-05-17,0.363222289
2021-05-18,0.322482926
2021-05-19,0.325757951
2021-05-20,0.369824771
2021-05-21,0.364744023
2021-05-22,0.355009261
2021-05-23,0.475292283
2021-05-24,0.305253142
2021-05-25,0.259574211
2021-05-26,0.278961112
2021-05-27,0.319140828
2021-05-28,0.308709978
2021-05-29,0.282204571
2021-05-30,0.363182181
2021-05-31,0.263032446
2021-06-01,0.219056866
2021-06-02,0.219775652
2021-06-03,0.255515753
2021-06-04,0.265164958
2021-06-05,0.244795073
2021-06-06,0.291716314
2021-06-07,0.212723221
2021-06-08,0.181258706
2021-06-09,0.190930014
2021-06-10,0.209572214
2021-06-11,0.235297293
2021-06-12,0.224464374
2021-06-13,0.269805092
2021-06-14,0.202852349
2021-06-15,0.170438822
2021-06-16,0.173811391
2021-06-17,0.212375872
2021-06-18,0.225883732
2021-06-19,0.206351375
2021-06-20,0.247051515
2021-06-21,0.190716803
2021-06-22,0.169163803
2021-06-23,0.17733318
2021-06-24,0.226060969
2021-06-25,0.239637529
2021-06-26,0.215369215
2021-06-27,0.252713461
2021-06-28,0.200820259
2021-06-29,0.17663954
2021-06-30,0.188716631
2021-07-01,0.223268924
2021-07-02,0.212632293
2021-07-03,0.224990856
