date,g_values
2021-01-01,0.802732347
2021-01-02,0.711653573
2021-01-03,1.168043432
2021-01-04,0.612369385
2021-01-05,0.614070045
2021-01-06,0.666347161
2021-01-07,0.795029658
2021-01-08,0.799715694
2021-01-09,0.820877713
2021-01-10,1.47102782
2021-01-11,0.679844611
2021-01-12,0.600386386
2021-01-13,0.622511841
2021-01-14,0.688202918
2021-01-15,0.677744744
2021-01-16,0.666199104
2021-01-17,1.363936681
2021-01-18,0.56299892
2021-01-19,0.494180252
2021-01-20,0.495130804
2021-01-21,0.538934723
2021-01-22,0.574627409
2021-01-23,0.544305435
2021-01-24,1.18487501
2021-01-25,0.459210666
2021-01-26,0.383854038
2021-01-27,0.424308456
2021-01-28,0.476791515
2021-01-29,0.492073858
2021-01-30,0.470557845
2021-01-31,1.021596805
2021-02-01,0.388313967
2021-02-02,0.322073448
2021-02-03,0.362696692
2021-02-04,0.400788077
2021-02-05,0.386820046
2021-02-06,0.394565796
2021-02-07,0.797020696
2021-02-08,0.322540799
2021-02-09,0.277752918
2021-02-10,0.291024881
2021-02-11,0.332692848
2021-02-12,0.349206872
2021-02-13,0.342162702
2021-02-14,0.634732903
2021-02-15,0.269058651
2021-02-16,0.23720859
2021-02-17,0.265771898
2021-02-18,0.292650317
2021-02-19,0.304108306
2021-02-20,0.302391854
2021-02-21,0.592371381
2021-02-22,0.272420198
2021-02-23,0.239958052
2021-02-24,0.267299789
2021-02-25,0.324553562
2021-02-26,0.330727537
2021-02-27,0.326983026
2021-02-28,0.617347939
2021-03-01,0.276667318
2021-03-02,0.237302134
2021-03-03,0.273455072
2021-03-04,0.313190816
2021-03-05,0.329666885
2021-03-06,0.326450485
2021-03-07,0.633068338
2021-03-08,0.275663491
2021-03-09,0.276753418
2021-03-10,0.267201951
2021-03-11,0.329608966
2021-03-12,0.345011363
2021-03-13,0.343663963
2021-03-14,0.686552144
2021-03-15,0.293818654
2021-03-16,0.260953734
2021-03-17,0.292475094
2021-03-18,0.36847684
2021-03-19,0.381580278
2021-03-20,0.381148583
2021-03-21,0.783929101
2021-03-22,0.334246352
2021-03-23,0.294273173
2021-03-24,0.335036716
2021-03-25,0.400687972
2021-03-26,0.420825669
2021-03-27,0.416501954
2021-03-28,0.888623678
2021-03-29,0.369131025
2021-03-30,0.319869321
2021-03-31,0.34831887
