date,g_values
2021-01-01,0.7915911071
2021-01-02,24.0581174056
2021-01-03,10.7736801355
2021-01-04,12.9331749552
2021-01-05,17.1869756098
2021-01-06,13.0505347357
2021-01-07,6.4772153785
2021-01-08,8.7209065695
2021-01-09,9.7446320931
2021-01-10,7.1857774645
2021-01-11,5.7556331296
2021-01-12,6.5710565261
2021-01-13,-65.1223703665
2021-01-14,0.674752906
2021-01-15,0.6628688085
2021-01-16,0.6512171849
2021-01-17,1.470572576
2021-01-18,0.5460007088
2021-01-19,0.4807712776
2021-01-20,0.4851135879
2021-01-21,0.5277217304
2021-01-22,0.5612463832
2021-01-23,0.5319656145
2021-01-24,1.2930800564
2021-01-25,0.4453000713
2021-01-26,0.3740735317
2021-01-27,0.4165211102
2021-01-28,0.4674456308
2021-01-29,0.4810008663
2021-01-30,0.4605846878
2021-01-31,1.1149593029
2021-02-01,-18.5255284153
2021-02-02,23.5877997124
2021-02-03,10.6877344745
2021-02-04,13.1552129375
2021-02-05,17.6715515514
2021-02-06,12.3359694602
2021-02-07,6.4694657702
2021-02-08,8.7633750736
2021-02-09,9.7873768677
2021-02-10,7.080472272
2021-02-11,5.6836422121
2021-02-12,6.6569144926
2021-02-13,-58.9268210813
2021-02-14,0.6846131354
2021-02-15,0.2626540658
2021-02-16,0.2332358463
2021-02-17,0.2646183384
2021-02-18,0.2906338936
2021-02-19,0.3021963881
2021-02-20,0.3005133203
2021-02-21,0.6397963119
2021-02-22,0.2674413089
2021-02-23,0.2373079225
2021-02-24,0.2688914287
2021-02-25,0.3236233814
2021-02-26,0.3306554573
2021-02-27,0.3271071403
2021-02-28,0.6664115349
2021-03-01,-25.6062604101
2021-03-02,22.4949999855
2021-03-03,10.5994819067
2021-03-04,13.3351196201
2021-03-05,17.6881163392
2021-03-06,12.1073019606
2021-03-07,6.4380328889
2021-03-08,8.7839103424
2021-03-09,9.84444862
2021-03-10,7.079133824
2021-03-11,5.5576295716
2021-03-12,6.6929709882
2021-03-13,-54.8491262482
2021-03-14,0.7409288638
2021-03-15,0.2912891119
2021-03-16,0.2602460952
2021-03-17,0.2964854699
2021-03-18,0.3699679812
2021-03-19,0.3830230491
2021-03-20,0.3824635966
2021-03-21,0.8468847247
2021-03-22,0.3301113231
2021-03-23,0.2937568909
2021-03-24,0.3374186407
2021-03-25,0.4014905135
2021-03-26,0.4209898781
2021-03-27,0.4160094696
2021-03-28,0.9590120742
2021-03-29,0.3629044372
2021-03-30,0.3158856535
2021-03-31,0.348967214
